LINKID,MASTER_RTE_NM,FromNode_Norm,ToNode_Norm,SegMid_M,Signal_M,Delta_M,Flow_Role,AADT_GIS
010386,,,,984.6944039069876,1214.4558856496049,-229.7614817426172,Unknown,16015.0
010390,,,,8.626316742462167,378.08396672094756,-369.4576499784854,Unknown,13115.0
010390,,,,8.789937655771567,378.08396672094756,-369.294029065176,Unknown,13115.0
010390,,,,15.864546851086626,378.08396672094756,-362.21941986986093,Unknown,13115.0
010390,,,,71.6265715732004,378.08396672094756,-306.45739514774715,Unknown,13115.0
010390,,,,71.87762855581362,378.08396672094756,-306.20633816513396,Unknown,13115.0
010390,,,,75.19602024864655,378.08396672094756,-302.887946472301,Unknown,13115.0
010390,,,,75.34726991743042,378.08396672094756,-302.73669680351713,Unknown,13115.0
010390,,,,230.46920757168198,378.08396672094756,-147.61475914926558,Unknown,13115.0
010390,,,,230.8852346089526,378.08396672094756,-147.19873211199496,Unknown,13115.0
010390,,,,375.4618643199206,378.08396672094756,-2.6221024010269502,AtSignal,13115.0
010390,,,,375.6709125588368,378.08396672094756,-2.413054162110768,AtSignal,13115.0
010401,,,,2502.591556566046,29.856353497794146,2472.735203068252,Unknown,22032.0
010401,,,,2503.472012840992,29.856353497794146,2473.615659343198,Unknown,22032.0
010411,,,,251.8004215231826,830.4731715149861,-578.6727499918036,Unknown,3334.0
010411,,,,843.7125952398336,830.4731715149861,13.239423724847484,AtSignal,3334.0
010415,,,,67.23713367806144,2.1427850498525127,65.09434862820893,Unknown,9699.0
010415,,,,69.19990208593907,2.1427850498525127,67.05711703608657,Unknown,9699.0
010415,,,,118.2546749582637,8.22592343851441,110.02875151974929,Unknown,9699.0
010415,,,,120.69272090513438,8.22592343851441,112.46679746661997,Unknown,9699.0
010415,,,,264.70168425620056,8.22592343851441,256.47576081768614,Unknown,9699.0
010415,,,,275.04940289899037,8.22592343851441,266.82347946047594,Unknown,9699.0
010415,,,,302.76671150590334,2.1427850498525127,300.6239264560508,Unknown,9699.0
010421,,,,2674.6140011782286,2576.341444537082,98.27255664114637,Unknown,9265.0
010421,,,,2679.1410774998017,2576.341444537082,102.79963296271944,Unknown,9265.0
010425,,,,245.9086710697016,88.53102265566348,157.3776484140381,Unknown,1824.0
010425,,,,249.4006363671775,88.53102265566348,160.86961371151403,Unknown,1824.0
010447,,,,137.42811555388192,159.16339015580883,-21.735274601926903,Unknown,29925.0
010447,,,,204.5963247295635,159.16339015580883,45.432934573754665,Unknown,29925.0
010447,,,,422.3802606327273,159.16339015580883,263.2168704769185,Unknown,29925.0
010451,,,,15.25777693531269,159.16339015580883,-143.90561322049615,Unknown,2706.0
010453,,,,245.3918154521333,413.0302974122011,-167.6384819600678,Unknown,6557.0
010453,,,,811.4521599507816,413.0302974122011,398.4218625385805,Unknown,6557.0
010454,,,,208.68089533818318,413.0302974122011,-204.34940207401792,Unknown,11684.0
010454,,,,209.39990121399273,413.0302974122011,-203.63039619820836,Unknown,11684.0
010454,,,,3273.884260876471,413.0302974122011,2860.8539634642702,Unknown,11684.0
010454,,,,3274.217109604758,413.0302974122011,2861.186812192557,Unknown,11684.0
010454,,,,3617.7050107910973,413.0302974122011,3204.6747133788963,Unknown,11684.0
010454,,,,3617.842951391983,413.0302974122011,3204.812653979782,Unknown,11684.0
010456,,,,167.72180671862742,830.4731715149861,-662.7513647963588,Unknown,11694.0
010456,,,,168.846865518752,830.4731715149861,-661.6263059962341,Unknown,11694.0
010456,,,,249.76374306675126,830.4731715149861,-580.7094284482348,Unknown,11694.0
010456,,,,584.6758838411841,830.4731715149861,-245.79728767380197,Unknown,11694.0
010456,,,,586.8102226543449,830.4731715149861,-243.66294886064122,Unknown,11694.0
010456,,,,592.9023546621581,1406.7620109037505,-813.8596562415923,Unknown,11694.0
010456,,,,603.4912459135088,1406.7620109037505,-803.2707649902417,Unknown,11694.0
010456,,,,838.6565604554858,830.4731715149861,8.18338894049964,AtSignal,11694.0
010456,,,,1405.5040422171128,1406.7620109037505,-1.257968686637696,AtSignal,11694.0
010456,,,,1411.4392613912453,1406.7620109037505,4.677250487494803,AtSignal,11694.0
010456,,,,2048.18447295017,2045.3492025837843,2.8352703663856573,AtSignal,11694.0
010456,,,,2051.5783227077804,2045.3492025837843,6.229120123996154,AtSignal,11694.0
010456,,,,2300.3045938019477,2300.0608989581956,0.2436948437521096,AtSignal,11694.0
010456,,,,2303.4348509633282,2300.0608989581956,3.373952005132651,AtSignal,11694.0
010456,,,,2905.820467896223,2045.3492025837843,860.4712653124386,Unknown,11694.0
010456,,,,2924.335353283426,2045.3492025837843,878.9861506996415,Unknown,11694.0
010456,,,,3105.204670695156,2300.0608989581956,805.1437717369604,Unknown,11694.0
010456,,,,3106.4527813838704,2300.0608989581956,806.3918824256748,Unknown,11694.0
010456,,,,3587.0567907862915,830.4731715149861,2756.5836192713055,Unknown,11694.0
010456,,,,3589.2152084551885,830.4731715149861,2758.7420369402025,Unknown,11694.0
010470,,,,47.1103228902931,322.6968016614135,-275.58647877112037,Unknown,6283.0
010548,,,,2425.6251241459286,2450.9565969584078,-25.331472812479205,Unknown,20203.0
010548,,,,2446.508560853793,2450.9565969584078,-4.448036104614857,AtSignal,20203.0
010548,,,,2450.9317579881463,2450.9565969584078,-0.024838970261498616,AtSignal,20203.0
010548,,,,2471.5570912375365,2450.9565969584078,20.600494279128725,Unknown,20203.0
010548,,,,2596.4524502272548,2596.498170650471,-0.045720423216152994,AtSignal,20203.0
010548,,,,2616.9686943797033,2596.498170650471,20.470523729232355,Unknown,20203.0
010548,,,,2851.501815381813,2596.498170650471,255.00364473134186,Unknown,20203.0
010548,,,,2871.6563588159474,2596.498170650471,275.15818816547653,Unknown,20203.0
010566,,,,1906.0546724776837,159.16339015580883,1746.8912823218748,Unknown,30448.0
010566,,,,2101.4726272533194,159.16339015580883,1942.3092370975105,Unknown,30448.0
010701,,,,44.61217229916133,88.53102265566348,-43.91885035650215,Unknown,2552.0
010701,,,,45.21719694336615,88.53102265566348,-43.31382571229733,Unknown,2552.0
010701,,,,66.17376249406804,88.53102265566348,-22.357260161595434,Unknown,2552.0
010701,,,,167.58251405188696,88.53102265566348,79.05149139622348,Unknown,2552.0
020116,,,,181.21567397366715,4120.443902415924,-3939.2282284422567,Unknown,26076.0
020116,,,,183.90417193024274,4120.443902415924,-3936.539730485681,Unknown,26076.0
020116,,,,474.3873285642947,4120.443902415924,-3646.056573851629,Unknown,26076.0
020116,,,,476.05583997143543,4120.443902415924,-3644.3880624444882,Unknown,26076.0
020116,,,,1025.0373812056052,1472.794273663219,-447.75689245761373,Unknown,26076.0
020116,,,,1471.6774736254945,1472.794273663219,-1.116800037724488,AtSignal,26076.0
020116,,,,2334.993491129314,2335.48578038088,-0.4922892515660351,AtSignal,26076.0
020116,,,,2686.3658787421837,2335.48578038088,350.8800983613037,Unknown,26076.0
020116,,,,3528.6863301163194,4120.443902415924,-591.7575722996044,Unknown,26076.0
020116,,,,3937.722752679234,4120.443902415924,-182.72114973668977,Unknown,26076.0
020120,,,,9.536308956994665,271.8846157539942,-262.3483067969995,Unknown,13616.0
020120,,,,10.176199278454492,271.8846157539942,-261.7084164755397,Unknown,13616.0
