scope,pair_symmetry_connection_key,reference_signal_id,directional_records,far_anchor_ids,far_anchor_types,roadway_representation_types,downstream_records,upstream_records,paired_id_missing_rows,paired_id_not_found_rows,has_required_pair,qa_status
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0065869_sgn_signal_003741_rc_0065869_sgn_signal_003254_rc_0065869_signal_003741_02_b_to_a||rds_oseg_rge_rc_0067009_sgn_signal_003741_rc_0067009_sgn_signal_003254_rc_0067009_signal_003741_02_a_to_b,signal_003741,2,sgn_signal_003254_rc_0065869|sgn_signal_003254_rc_0067009,true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0069624_rn_190155_19_139924_02_sgn_signal_001874_rc_0069624_signal_001874_01_b_to_a||rds_oseg_rge_rc_0070183_rn_187560_72_139268_50_sgn_signal_001874_rc_0070183_signal_001874_01_a_to_b,signal_001874,2,rn_187560_72_139268_50|rn_190155_19_139924_02,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0069625_sgn_signal_001874_rc_0069625_sgn_signal_001871_rc_0069625_signal_001874_01_a_to_b||rds_oseg_rge_rc_0070183_sgn_signal_001874_rc_0070183_sgn_signal_001871_rc_0070183_signal_001874_01_b_to_a,signal_001874,2,sgn_signal_001871_rc_0069625|sgn_signal_001871_rc_0070183,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0078781_sgn_signal_000733_rc_0078781_sgn_signal_003010_rc_0078781_signal_003010_01_b_to_a||rds_oseg_rge_rc_0078842_sgn_signal_000733_rc_0078842_sgn_signal_003010_rc_0078842_signal_003010_01_a_to_b,signal_003010,2,sgn_signal_000733_rc_0078781|sgn_signal_000733_rc_0078842,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085089_rn_118192_78_354405_81_sgn_signal_001228_rc_0085089_signal_001228_01_a_to_b||rds_oseg_rge_rc_0085987_rn_118149_36_354366_98_sgn_signal_001228_rc_0085987_signal_001228_01_b_to_a,signal_001228,2,rn_118149_36_354366_98|rn_118192_78_354405_81,non_signal_intersection,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085193_sgn_signal_003255_rc_0085193_sgn_signal_003516_rc_0085193_signal_003516_01_a_to_b||rds_oseg_rge_rc_0085697_sgn_signal_003255_rc_0085697_sgn_signal_003516_rc_0085697_signal_003516_01_b_to_a,signal_003516,2,sgn_signal_003255_rc_0085193|sgn_signal_003255_rc_0085697,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085193_sgn_signal_003426_rc_0085193_sgn_signal_003515_rc_0085193_signal_003426_01_b_to_a||rds_oseg_rge_rc_0085697_sgn_signal_003426_rc_0085697_rn_292856_80_106782_12_signal_003426_01_a_to_b,signal_003426,2,rn_292856_80_106782_12|sgn_signal_003515_rc_0085193,non_signal_intersection|non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085193_sgn_signal_003516_rc_0085193_sgn_signal_003426_rc_0085193_signal_003426_01_a_to_b||rds_oseg_rge_rc_0085697_sgn_signal_003516_rc_0085697_sgn_signal_003426_rc_0085697_signal_003426_01_b_to_a,signal_003426,2,sgn_signal_003516_rc_0085193|sgn_signal_003516_rc_0085697,true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085193_sgn_signal_003516_rc_0085193_sgn_signal_003426_rc_0085193_signal_003516_02_b_to_a||rds_oseg_rge_rc_0085697_sgn_signal_003516_rc_0085697_sgn_signal_003426_rc_0085697_signal_003516_02_a_to_b,signal_003516,2,sgn_signal_003426_rc_0085193|sgn_signal_003426_rc_0085697,true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
all_candidates,paired_directional_ids:rds_oseg_rge_rc_0085963_sgn_signal_003253_rc_0085963_sgn_signal_003713_rc_0085963_signal_003713_01_a_to_b||rds_oseg_rge_rc_0086295_sgn_signal_003253_rc_0086295_sgn_signal_003713_rc_0086295_signal_003713_01_b_to_a,signal_003713,2,sgn_signal_003253_rc_0085963|sgn_signal_003253_rc_0086295,non_true_signal,divided_physical_carriageway,1,1,0,0,TRUE,pass
