model_name,term,covariance_method,standard_error,p_value
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_scaled_pearson,0.20650482378427368,0.8523822638023788
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_scaled_pearson,0.1330842084323921,0.6160588606238508
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_scaled_pearson,0.16736146858843795,0.0025737034050578953
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_scaled_pearson,0.33323309882983,0.009078144270777331
S3_access_interaction_speed_simplified,Intercept,poisson_robust_hc0,0.050802676723626365,0.0
S3_access_interaction_speed_simplified,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",poisson_robust_hc0,0.061180452727545014,4.711881397956341e-06
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",poisson_robust_hc0,0.09764070854714159,0.3235945333335938
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",poisson_robust_hc0,0.09148120111110139,0.0034493573249189387
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",poisson_robust_hc0,0.08805266826538392,0.2967884656561601
S3_access_interaction_speed_simplified,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",poisson_robust_hc0,0.29178924550589724,0.3942355229695652
